Facility Name,Facility ID,Pg,Qg,Qmax,Qmin,Pmax,Pmin,fuel,lat,long
"Rio Nogales Power Project, LP",55137,256.14,9.91,164.41,-83.08,323.0,40.93,ng,29.5931,-97.9732
"Rio Nogales Power Project, LP",55137,79.35,6.08,83.99,-53.1,165.0,27.05,ng,29.5931,-97.9732
"Rio Nogales Power Project, LP",55137,132.84,9.91,78.39,-46.72,154.0,76.03,ng,29.5931,-97.9732
"Rio Nogales Power Project, LP",55137,132.84,7.75,78.39,-47.38,154.0,18.76,ng,29.5931,-97.9732
Hays Energy Facility,55144,138.74,35.61,106.89,-64.53,210.0,72.17,ng,29.7807,-97.9894
Hays Energy Facility,55144,181.15,35.61,106.89,-72.95,210.0,53.11,ng,29.7807,-97.9894
Hays Energy Facility,55144,98.76,35.61,107.4,-66.46,211.0,31.88,ng,29.7807,-97.9894
Guadalupe Generating Station,55153,132.95,14.48,100.27,-54.91,197.0,70.5,ng,29.6244,-98.1419
Guadalupe Generating Station,55153,169.94,32.11,100.27,-59.84,197.0,77.32,ng,29.6244,-98.1419
Guadalupe Generating Station,55153,127.67,12.43,75.33,-46.93,148.0,32.29,ng,29.6244,-98.1419
Guadalupe Generating Station,55153,114.12,12.43,75.33,-50.2,148.0,67.21,ng,29.6244,-98.1419
Guadalupe Generating Station,55153,127.67,12.43,75.33,-51.45,148.0,39.46,ng,29.6244,-98.1419
Guadalupe Generating Station,55153,66.92,11.84,75.33,-50.71,148.0,20.01,ng,29.6244,-98.1419
