Number of Bus,Name of Bus,ID,EIA plant code_gen ID,Start-Up Costs ($/MW of capacity/start),Shut-Down Costs ($/MW/shutdown),Cold Start-Up Time (hours),Warm Start-Up Time (hours),Hot Start-Up Time (hours),Minimum Up Time (hours),Minimum Down Time (hours),Ramp Rate Up and Down (%/min) , Variable O&M Costs ($/MWh),Fuel Costs ($/MMBtu),Sub Num of Bus,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Cost,IOD,AVR,RegBus Num,Fuel Type,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
111325,GALENA PARK 21 3,1,55299_CTG1,85,8.5,6,6,4,840,0,>12,3,1.5,856,Closed,90.78,2.8,90.78,185,YES,8,0,0,0,3.085,0,YES,111325,NG (Natural Gas),1.04,-54.86,94.16,YES,185,Piecewise Linear
111326,GALENA PARK 21 4,1,55299_CTG2,85,8.5,6,6,4,840,0,0.1667,,,856,Closed,44.07,1.81,44.07,185,YES,8,0,0,0,3.304,0,YES,111326,NG (Natural Gas),1.04,-53.28,94.16,YES,185,Piecewise Linear
111327,GALENA PARK 21 5,1,55299_CTG3,85,8.5,6,6,4,840,0,0.1667,,,856,Closed,66.98,2.06,66.98,183,YES,8,0,0,0,2.732,0,YES,111327,NG (Natural Gas),1.04,-46.34,93.15,YES,183,Piecewise Linear
111329,CLUTE 6 2,1,55311_GEN2,100,10,24,24,12,60,5,0.1667,,,857,Closed,11.7,5.48,5.26,11.7,YES,5,0,0,0,3,0,YES,111329,OTH (Other),1.04,-4.02,5.48,YES,11.7,Piecewise Linear
111330,CLUTE 6 3,1,55311_GEN1,35,3.5,1,1,1,840,0,1,,0.25,857,Closed,9.54,14.9,9.54,75,YES,5,0,0,0,3.089,0,YES,111330,NG (Natural Gas),1.04,-21.38,38.17,YES,75,Piecewise Linear
111333,BAYTOWN 13 2,1,55327_STG1,85,8.5,6,6,4,840,0,0.1667,,,858,Closed,239.04,0.71,110.38,275,YES,10,0,0,0,3.188,0,YES,111333,NG (Natural Gas),1.04,-95.08,139.97,YES,275,Piecewise Linear
111334,BAYTOWN 13 3,1,55327_CTG1,85,8.5,6,6,4,840,0,0.1667,,,858,Closed,74.33,-0.52,74.33,175,YES,8,0,0,0,2.998,0,YES,111334,NG (Natural Gas),1.04,-45.43,89.07,YES,175,Piecewise Linear
111335,BAYTOWN 13 4,1,55327_CTG2,85,8.5,6,6,4,840,0,0.1667,,,858,Closed,77.27,-0.9,77.27,175,YES,8,0,0,0,3.049,0,YES,111335,NG (Natural Gas),1.04,-56.3,89.07,YES,175,Piecewise Linear
111336,BAYTOWN 13 5,1,55327_CTG3,85,8.5,6,6,4,840,0,0.1667,,,858,Closed,38.81,-0.41,38.81,175,YES,8,0,0,0,3.204,0,YES,111336,NG (Natural Gas),1.04,-50.6,89.07,YES,175,Piecewise Linear
111339,THOMPSONS 7 3,1,55357_STG1,0,0,0,0,0,0,0,0.1667,,,859,Closed,95.32,39.84,95.32,193,YES,8,0,0,0,3.137,0,YES,111337,NG (Natural Gas),1.039,-62.61,98.24,YES,193,Piecewise Linear
111340,THOMPSONS 7 4,1,55357_CTG1,0,0,0,0,0,0,0,0.1667,,,859,Closed,37.65,2.88,37.65,166,YES,5,0,0,0,3.23,0,YES,111340,NG (Natural Gas),1.04,-50.27,84.49,YES,166,Piecewise Linear
111341,THOMPSONS 7 5,1,55357_CTG2,0,0,0,0,0,0,0,1,,,859,Closed,166,39.84,44.21,166,YES,5,0,0,0,3.258,0,YES,111337,NG (Natural Gas),1.039,-54.88,84.49,YES,166,Piecewise Linear
111343,LA PORTE 10 2,1,55365_GT1,35,3.5,1,1,1,840,0,12,3,1.5,860,Closed,30,7.21,10.31,38,YES,10,0,0,0,2.864,0,YES,111343,NG (Natural Gas),1.04,-11.83,19.34,YES,38,Piecewise Linear
111344,LA PORTE 10 3,1,55365_GT3,35,3.5,1,1,1,840,0,1,,0.25,860,Closed,30,4.64,18.13,38,YES,10,0,0,0,3.026,0,YES,111344,NG (Natural Gas),1.04,-10.22,19.34,YES,38,Piecewise Linear
111344,LA PORTE 10 3,2,55365_GT2,35,3.5,1,1,1,840,0,1,,0.25,860,Closed,30,4.64,5.07,38,YES,10,0,0,0,3.25,0,YES,111344,NG (Natural Gas),1.04,-10.69,19.34,YES,38,Piecewise Linear
111345,LA PORTE 10 4,1,55365_GT4,35,3.5,1,1,1,840,0,12,3,1.5,860,Closed,30,19.34,6.14,38,YES,10,0,0,0,2.931,0,YES,111345,NG (Natural Gas),1.04,-10.52,19.34,YES,38,Piecewise Linear
111347,DEER PARK 14 2,1,55464_STG1,85,8.5,6,6,4,840,0,0.1667,,,861,Closed,239,32.27,37.51,282,YES,10,0,0,0,3.706,0,YES,111346,NG (Natural Gas),1.038,-92.95,143.54,YES,282,Piecewise Linear
111348,DEER PARK 14 3,1,55464_CTG1,85,8.5,6,6,4,840,0,0.1667,,,861,Closed,24.1,7.18,24.1,169.8,YES,8,0,0,0,3.414,0,YES,111348,NG (Natural Gas),1.04,-52.35,86.43,YES,169.8,Piecewise Linear
111349,DEER PARK 14 4,1,55464_CTG2,85,8.5,6,6,4,840,0,0.1667,,,861,Closed,20.63,10.64,20.63,169.8,YES,8,0,0,0,3.212,0,YES,111349,NG (Natural Gas),1.04,-49.18,86.43,YES,169.8,Piecewise Linear
111350,DEER PARK 14 5,1,55464_CTG3,85,8.5,6,6,4,840,0,0.1667,,,861,Closed,35.46,9.1,35.46,169.8,YES,8,0,0,0,3.377,0,YES,111350,NG (Natural Gas),1.04,-44.44,86.43,YES,169.8,Piecewise Linear
111351,DEER PARK 14 6,1,55464_CTG4,85,8.5,6,6,4,840,0,0.1667,,,861,Closed,32.88,13.02,32.88,169.8,YES,8,0,0,0,3.144,0,YES,111351,NG (Natural Gas),1.04,-47.08,86.43,YES,169.8,Piecewise Linear
111352,DEER PARK 14 7,1,55464_CTG6,0,0,0,0,0,0,0,0.1667,,,861,Closed,154.8,32.27,66.37,154.8,YES,5,0,0,0,3.264,0,YES,111346,NG (Natural Gas),1.038,-53.15,78.79,YES,154.8,Piecewise Linear
111354,TEXAS CITY 9 2,1,55470_ST1,85,8.5,6,6,4,840,0,0.1667,,,862,Closed,9.55,4.83,9.55,75,YES,5,0,0,0,3.103,0,YES,111354,NG (Natural Gas),1.04,-20.54,38.17,YES,75,Piecewise Linear
111355,TEXAS CITY 9 3,1,55470_TR1,85,8.5,6,6,4,840,0,0.1667,,,862,Closed,158,4.94,39.06,158,YES,5,0,0,0,3.167,0,YES,111355,NG (Natural Gas),1.04,-43.08,80.42,YES,158,Piecewise Linear
111356,TEXAS CITY 9 4,1,55470_TR2,85,8.5,6,6,4,840,0,0.1667,,,862,Closed,158,80.42,44.23,158,YES,5,0,0,0,3.565,0,YES,111353,NG (Natural Gas),1.039,-51.16,80.42,YES,158,Piecewise Linear
111357,TEXAS CITY 9 5,1,55470_TR3,85,8.5,6,6,4,840,0,12,3,1.5,862,Closed,158,5.13,21.32,158,YES,5,0,0,0,3.336,0,YES,111357,NG (Natural Gas),1.04,-45.23,80.42,YES,158,Piecewise Linear
111358,TEXAS CITY 9 6,1,55470_ST805,85,8.5,6,6,4,840,0,12,3.5,2,862,Closed,32.86,3.34,32.86,75,YES,5,0,0,0,3.227,0,YES,111358,NG (Natural Gas),1.04,-19.95,38.17,YES,75,Piecewise Linear
111360,CLUTE 7 2,1,56152_CTG1,85,8.5,6,6,4,840,0,1,,,863,Closed,36.35,19.54,36.35,169.4,YES,8,0,0,0,3.291,0,YES,111359,NG (Natural Gas),1.035,-56.22,86.22,YES,169.4,Piecewise Linear
111361,CLUTE 7 3,1,56152_STG1,85,8.5,6,6,4,840,0,0.1667,,,863,Closed,50,9.85,22.87,50,YES,5,0,0,0,3.076,0,YES,111361,NG (Natural Gas),1.04,-16.43,25.45,YES,50,Piecewise Linear
111364,WHARTON 3 3,1,56350_ST1,85,8.5,6,6,4,840,0,0.1667,,,864,Closed,44.23,-0.6,44.23,98,YES,5,0,0,0,3.164,0,YES,111364,NG (Natural Gas),1.04,-32.77,49.88,YES,98,Piecewise Linear
111365,WHARTON 3 4,1,56350_ST2,85,8.5,6,6,4,840,0,0.1667,,,864,Closed,33.19,-0.54,33.19,98,YES,5,0,0,0,2.89,0,YES,111365,NG (Natural Gas),1.04,-24.97,49.88,YES,98,Piecewise Linear
111366,WHARTON 3 5,1,56350_CT1A,85,8.5,6,6,4,840,0,0.1667,,,864,Closed,8.33,-0.2,8.33,72,YES,5,0,0,0,2.953,0,YES,111366,NG (Natural Gas),1.04,-24.55,36.65,YES,72,Piecewise Linear
111367,WHARTON 3 6,1,56350_CT1B,85,8.5,6,6,4,840,0,0.1667,,,864,Closed,25.74,-0.39,25.74,72,YES,5,0,0,0,3.162,0,YES,111367,NG (Natural Gas),1.04,-22.87,36.65,YES,72,Piecewise Linear
111368,WHARTON 3 7,1,56350_CT2A,85,8.5,6,6,4,840,0,0.1667,,,864,Closed,13.5,-0.26,13.5,72,YES,5,0,0,0,3.049,0,YES,111368,NG (Natural Gas),1.04,-18.19,36.65,YES,72,Piecewise Linear
111369,WHARTON 3 8,1,56350_CT2B,85,8.5,6,6,4,840,0,1,,,864,Closed,10.13,-0.22,10.13,72,YES,5,0,0,0,3.432,0,YES,111369,NG (Natural Gas),1.04,-20.12,36.65,YES,72,Piecewise Linear
111372,BAYTOWN 14 3,1,56806_4,85,8.5,6,6,4,840,0,12,3.5,2,865,Closed,74.41,-59.49,74.41,172,YES,8,0,0,0,3.118,0,YES,111370,NG (Natural Gas),1.04,-59.49,87.55,YES,172,Piecewise Linear
111373,BAYTOWN 14 4,1,56806_41,85,8.5,6,6,4,840,0,0.1667,,,865,Closed,165,0.25,22.41,165,YES,5,0,0,0,2.967,0,YES,111373,NG (Natural Gas),1.04,-46.18,83.99,YES,165,Piecewise Linear
111374,BAYTOWN 14 5,1,56806_42,85,8.5,6,6,4,840,0,0.1667,,,865,Closed,66.8,-0.74,66.8,165,YES,5,0,0,0,3.306,0,YES,111374,NG (Natural Gas),1.04,-56.58,83.99,YES,165,Piecewise Linear
111376,MONT BELVIEU 5 2,1,57322_GT01,35,3.5,1,1,1,840,0,1,,0.25,866,Closed,5,6.26,2.28,12.3,YES,10,0,0,0,2.998,0,YES,111376,NG (Natural Gas),1.04,-4.3,6.26,YES,12.3,Piecewise Linear
111378,HOUSTON 50 2,1,57504_CHP1,35,3.5,1,1,1,840,0,1,,0.25,867,Closed,35,24.43,6.91,48,YES,9,0,0,0,3.409,0,YES,111378,NG (Natural Gas),1.04,-15.32,24.43,YES,48,Piecewise Linear
111382,THOMPSONS 8 2,1,58378_GT2,110,11,1,1,1,840,0,0.1667,,,869,Closed,12.81,37.67,12.81,74,YES,5,0,0,0,3.006,0,YES,111382,NG (Natural Gas),1.04,-25.1,37.67,YES,74,Piecewise Linear
111384,GALENA PARK 23 2,1,58870_MG202,100,10,24,24,12,60,5,0.1667,,,870,Closed,14,6.81,4.91,14,YES,5,0,0,0,3,0,YES,111384,OTH (Other),1.04,-4.78,6.81,YES,14,Piecewise Linear
111386,FREEPORT 3 2,1,59145_65GTG,0,0,0,0,0,0,0,1,,,871,Closed,32.63,31.69,32.63,70,YES,9,0,0,0,3.314,0,YES,111386,NG (Natural Gas),1.04,-18.52,35.63,YES,70,Piecewise Linear
111390,WHARTON 4 2,1,60122_STG9,85,8.5,6,6,4,840,0,1,,,873,Closed,220.95,-28.59,220.95,472.5,YES,10,0,0,0,3.134,0,YES,111389,NG (Natural Gas),1.04,-150.94,240.5,YES,472.5,Piecewise Linear
111391,WHARTON 4 3,1,60122_CT7,85,8.5,6,6,4,840,0,1,,,873,Closed,148,-28.59,51.41,331.9,YES,10,0,0,0,3.26,0,YES,111389,NG (Natural Gas),1.04,-87.16,168.94,YES,331.9,Piecewise Linear
111392,WHARTON 4 4,1,60122_CT8,85,8.5,6,6,4,840,0,>12,3,1.5,873,Closed,156.21,-28.59,156.21,335.3,YES,10,0,0,0,3.034,0,YES,111389,NG (Natural Gas),1.04,-111.17,170.67,YES,335.3,Piecewise Linear
111395,BACLIFF 3 3,1,60264_BCGT1,0,0,0,0,0,0,0,1,,,874,Closed,7.28,1.61,7.28,54,YES,7,0,0,0,3.093,0,YES,111395,NG (Natural Gas),1.04,-14.83,27.49,YES,54,Piecewise Linear
111396,BACLIFF 3 4,1,60264_BCGT2,0,0,0,0,0,0,0,1,,,874,Closed,10.18,2.64,10.18,54,YES,7,0,0,0,2.874,0,YES,111396,NG (Natural Gas),1.04,-17.42,27.49,YES,54,Piecewise Linear
111397,BACLIFF 3 5,1,60264_BCGT3,0,0,0,0,0,0,0,1,,,874,Closed,19.57,2.42,19.57,54,YES,7,0,0,0,2.931,0,YES,111397,NG (Natural Gas),1.04,-13.9,27.49,YES,54,Piecewise Linear
111398,BACLIFF 3 6,1,60264_BCGT4,0,0,0,0,0,0,0,1,,,874,Closed,24.34,1.32,24.34,54,YES,7,0,0,0,2.996,0,YES,111398,NG (Natural Gas),1.04,-16.97,27.49,YES,54,Piecewise Linear
111399,BACLIFF 3 7,1,60264_BCGT5,0,0,0,0,0,0,0,1,,,874,Closed,14.99,3.3,14.99,54,YES,7,0,0,0,3.446,0,YES,111399,NG (Natural Gas),1.04,-14.33,27.49,YES,54,Piecewise Linear
111400,BACLIFF 3 8,1,60264_BCGT6,0,0,0,0,0,0,0,12,,,874,Closed,18.36,3.12,18.36,54,YES,7,0,0,0,3.095,0,YES,111400,NG (Natural Gas),1.04,-15.98,27.49,YES,54,Piecewise Linear
111402,CROSBY 6 2,1,60460_CH2,35,3.5,1,1,1,840,0,0.1667,,,875,Closed,13.77,20.15,13.77,45,YES,10,0,0,0,3.242,0,YES,111402,NG (Natural Gas),1.04,-14.15,22.9,YES,45,Piecewise Linear
111402,CROSBY 6 2,2,60460_CH1,35,3.5,1,1,1,840,0,0.1667,,,875,Closed,10.04,20.15,10.04,45,YES,10,0,0,0,2.989,0,YES,111402,NG (Natural Gas),1.04,-13.82,22.9,YES,45,Piecewise Linear
111404,BELLAIRE 43 2,1,60468_GT-1,0,0,0,0,0,0,0,0.1667,,,876,Closed,41.9,32.52,41.9,117,YES,10,0,0,0,3.221,0,YES,111403,NG (Natural Gas),1.02,-31.47,59.55,YES,117,Piecewise Linear
111408,WALLIS 2 2,1,61867_GEN1,0,0,0,0,0,0,0,0.1667,,,878,Open,0,0,0,0,YES,5,0,0,0,1,0,YES,111408,SUN (Solar),1.04,-2.79,3.25,YES,10,Piecewise Linear
111410,ORCHARD 2 2,1,61868_GEN1,0,0,0,0,0,0,0,0.1667,,,879,Open,0,0,0,0,YES,5,0,0,0,1,0,YES,111410,SUN (Solar),1.04,-2.98,4.49,YES,10,Piecewise Linear
111412,LANE CITY 3 2,1,61875_GEN1,0,0,0,0,0,0,0,0.1667,,,880,Open,0,0,0,0,YES,5,0,0,0,1,0,YES,111412,SUN (Solar),1.04,-2.9,3.76,YES,10,Piecewise Linear
120434,LACKLAND A F B 20 2,1,3609_CGT2,35,3.5,1,1,1,840,0,1,,0.25,1250,Closed,24,8.66,4.6,46,YES,10,0,0,0,3.446,0,YES,120434,NG (Natural Gas),1.04,-12.55,23.41,YES,46,Piecewise Linear
120434,LACKLAND A F B 20 2,2,3609_CGT1,35,3.5,1,1,1,840,0,1,,0.25,1250,Closed,20,8.66,7.34,46,YES,10,0,0,0,3.304,0,YES,120434,NG (Natural Gas),1.04,-14.08,23.41,YES,46,Piecewise Linear
120435,LACKLAND A F B 20 3,1,3609_CGT3,35,3.5,1,1,1,840,0,>12,3,1.5,1250,Closed,24,20.29,9.75,46,YES,10,0,0,0,2.93,0,YES,120435,NG (Natural Gas),1.04,-12.34,23.41,YES,46,Piecewise Linear
120436,LACKLAND A F B 20 4,1,3609_CGT4,35,3.5,1,1,1,840,0,0.1667,,,1250,Closed,15,21.12,7.55,46,YES,10,0,0,0,2.869,0,YES,120436,NG (Natural Gas),1.04,-12.46,23.41,YES,46,Piecewise Linear
120438,ADKINS 6 2,1,3611_1,100,10,8,8,8,60,5,1,,,1251,Closed,299,9.21,184.51,420,YES,10,0,0,0,3.223,0,YES,120437,NG (Natural Gas),1.04,-117.09,213.78,YES,420,Piecewise Linear
120439,ADKINS 6 3,1,3611_2,100,10,8,8,8,60,5,1,,,1251,Closed,289,9.21,112.96,410,YES,10,0,0,0,3.073,0,YES,120437,NG (Natural Gas),1.04,-111.76,208.69,YES,410,Piecewise Linear
120442,ELMENDORF 11 3,1,3612_6,35,3.5,1,1,1,840,0,1,,0.25,1252,Closed,48,-0.39,12.14,48,YES,10,0,0,0,3.418,0,YES,120442,NG (Natural Gas),1.04,-12.72,24.43,YES,48,Piecewise Linear
120442,ELMENDORF 11 3,2,3612_5,35,3.5,1,1,1,840,0,1,,0.25,1252,Closed,48,-0.39,13.89,48,YES,10,0,0,0,3.29,0,YES,120442,NG (Natural Gas),1.04,-13.25,24.43,YES,48,Piecewise Linear
120443,ELMENDORF 11 4,1,3612_7,35,3.5,1,1,1,840,0,0.1667,,,1252,Closed,48,-0.08,17.18,48,YES,10,0,0,0,2.889,0,YES,120443,NG (Natural Gas),1.04,-13.12,24.43,YES,48,Piecewise Linear
120443,ELMENDORF 11 4,2,3612_8,35,3.5,1,1,1,840,0,1,,0.25,1252,Closed,47,-0.08,17.96,47,YES,10,0,0,0,3.237,0,YES,120443,NG (Natural Gas),1.04,-14.97,23.92,YES,47,Piecewise Linear
120444,ELMENDORF 11 5,1,3612_3,100,10,8,8,8,60,5,1,,,1252,Closed,60,-23.31,57.33,412,YES,10,0,0,0,3.27,0,YES,120440,NG (Natural Gas),1.04,-105.73,209.71,YES,412,Piecewise Linear
120445,ELMENDORF 11 6,1,3612_2,100,10,8,8,8,60,5,1,,,1252,Closed,83.66,-0.73,83.66,230,YES,10,0,0,0,3.316,0,YES,120445,NG (Natural Gas),1.04,-74.42,117.07,YES,230,Piecewise Linear
120446,ELMENDORF 11 7,1,3612_1,100,10,8,8,8,60,5,1,,,1252,Closed,50,-23.31,48.81,217,YES,10,0,0,0,3.154,0,YES,120440,NG (Natural Gas),1.04,-55.78,110.45,YES,217,Piecewise Linear
120449,PEARSALL 6 3,1,3630_20A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,2.73,-1.77,2.73,8.4,YES,10,0,0,0,2.872,0,YES,120449,NG (Natural Gas),1.04,-2.89,4.28,YES,8.4,Piecewise Linear
120449,PEARSALL 6 3,2,3630_21A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,3.98,-1.77,3.98,8.4,YES,10,0,0,0,3.524,0,YES,120449,NG (Natural Gas),1.04,-2.86,4.28,YES,8.4,Piecewise Linear
120450,PEARSALL 6 4,1,3630_22A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,3.63,-2.65,3.63,8.4,YES,10,0,0,0,3.176,0,YES,120450,NG (Natural Gas),1.04,-2.65,4.28,YES,8.4,Piecewise Linear
120450,PEARSALL 6 4,2,3630_23A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,4.14,-2.58,4.14,8.4,YES,10,0,0,0,3.08,0,YES,120450,NG (Natural Gas),1.04,-2.58,4.28,YES,8.4,Piecewise Linear
120451,PEARSALL 6 5,1,3630_2A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,3.44,-2.18,3.44,8.4,YES,10,0,0,0,3.369,0,YES,120451,NG (Natural Gas),1.04,-2.18,4.28,YES,8.4,Piecewise Linear
120451,PEARSALL 6 5,2,3630_24A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,1.32,-2.88,1.32,8.4,YES,10,0,0,0,3.07,0,YES,120451,NG (Natural Gas),1.04,-2.88,4.28,YES,8.4,Piecewise Linear
120452,PEARSALL 6 6,1,3630_4A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,2.6,-2.33,2.6,8.4,YES,10,0,0,0,3.078,0,YES,120452,NG (Natural Gas),1.04,-2.72,4.28,YES,8.4,Piecewise Linear
120452,PEARSALL 6 6,2,3630_3A,35,3.5,0,0,0,840,0,0.1667,,0.08334,1253,Closed,2.89,-2.33,2.89,8.4,YES,10,0,0,0,3.335,0,YES,120452,NG (Natural Gas),1.04,-2.86,4.28,YES,8.4,Piecewise Linear
120453,PEARSALL 6 7,1,3630_5A,35,3.5,0,0,0,840,0,0.1667,,0.08334,1253,Closed,3.04,-2.31,3.04,8.4,YES,10,0,0,0,3.308,0,YES,120453,NG (Natural Gas),1.04,-2.31,4.28,YES,8.4,Piecewise Linear
120454,PEARSALL 6 8,1,3630_7A,35,3.5,0,0,0,840,0,0.1667,,0.08334,1253,Closed,2.48,-2.26,2.48,8.4,YES,10,0,0,0,3.106,0,YES,120454,NG (Natural Gas),1.04,-2.26,4.28,YES,8.4,Piecewise Linear
120454,PEARSALL 6 8,2,3630_6A,35,3.5,0,0,0,840,0,>12,,,1253,Closed,1.26,-2.47,1.26,8.4,YES,10,0,0,0,2.95,0,YES,120454,NG (Natural Gas),1.04,-2.47,4.28,YES,8.4,Piecewise Linear
120455,PEARSALL 6 9,1,3630_9A,35,3.5,0,0,0,840,0,>12,,,1253,Closed,2.19,-2.57,2.19,8.4,YES,10,0,0,0,3.363,0,YES,120455,NG (Natural Gas),1.04,-2.57,4.28,YES,8.4,Piecewise Linear
120455,PEARSALL 6 9,2,3630_8A,35,3.5,0,0,0,840,0,>12,,,1253,Closed,4.13,-2.7,4.13,8.4,YES,10,0,0,0,3.28,0,YES,120455,NG (Natural Gas),1.04,-2.7,4.28,YES,8.4,Piecewise Linear
120456,PEARSALL 6 10,1,3630_11A,35,3.5,0,0,0,840,0,>12,,,1253,Closed,1.47,-2.88,1.47,8.4,YES,10,0,0,0,3.163,0,YES,120456,NG (Natural Gas),1.04,-2.88,4.28,YES,8.4,Piecewise Linear
120456,PEARSALL 6 10,2,3630_10A,35,3.5,0,0,0,840,0,12,,0.08334,1253,Closed,3.36,-2.45,3.36,8.4,YES,10,0,0,0,3.279,0,YES,120456,NG (Natural Gas),1.04,-2.45,4.28,YES,8.4,Piecewise Linear
120457,PEARSALL 6 11,1,3630_13A,35,3.5,0,0,0,840,0,12,,0.08334,1253,Closed,1.35,-2.1,1.35,8.4,YES,10,0,0,0,2.78,0,YES,120457,NG (Natural Gas),1.04,-2.1,4.28,YES,8.4,Piecewise Linear
120457,PEARSALL 6 11,2,3630_12A,35,3.5,0,0,0,840,0,0.1667,,0.08334,1253,Closed,2.04,-2.31,2.04,8.4,YES,10,0,0,0,3.179,0,YES,120457,NG (Natural Gas),1.04,-2.31,4.28,YES,8.4,Piecewise Linear
120458,PEARSALL 6 12,1,3630_15A,35,3.5,0,0,0,840,0,0.1667,,0.08334,1253,Closed,3.46,-2.41,3.46,8.4,YES,10,0,0,0,2.986,0,YES,120458,NG (Natural Gas),1.04,-2.41,4.28,YES,8.4,Piecewise Linear
120458,PEARSALL 6 12,2,3630_14A,35,3.5,0,0,0,840,0,0.1667,,0.08334,1253,Closed,1.34,-2.84,1.34,8.4,YES,10,0,0,0,3.182,0,YES,120458,NG (Natural Gas),1.04,-2.84,4.28,YES,8.4,Piecewise Linear
120459,PEARSALL 6 13,1,3630_17A,35,3.5,0,0,0,840,0,0.1667,,0.08334,1253,Closed,1.71,-2.32,1.71,8.4,YES,10,0,0,0,3.364,0,YES,120459,NG (Natural Gas),1.04,-2.32,4.28,YES,8.4,Piecewise Linear
120459,PEARSALL 6 13,2,3630_16A,35,3.5,0,0,0,840,0,>12,,,1253,Closed,3.28,-2.52,3.28,8.4,YES,10,0,0,0,3.251,0,YES,120459,NG (Natural Gas),1.04,-2.52,4.28,YES,8.4,Piecewise Linear
120460,PEARSALL 6 14,1,3630_19A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,4.12,-2.85,4.12,8.4,YES,10,0,0,0,3.399,0,YES,120460,NG (Natural Gas),1.04,-2.85,4.28,YES,8.4,Piecewise Linear
120460,PEARSALL 6 14,2,3630_18A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,2.73,-2.13,2.73,8.4,YES,10,0,0,0,3.492,0,YES,120460,NG (Natural Gas),1.04,-2.13,4.28,YES,8.4,Piecewise Linear
120461,PEARSALL 6 15,1,3630_1A,35,3.5,0,0,0,840,0,1,,0.08334,1253,Closed,1.02,-2.16,1.02,8.4,YES,10,0,0,0,3.618,0,YES,120461,NG (Natural Gas),1.04,-2.16,4.28,YES,8.4,Piecewise Linear
120463,ADKINS 7 2,1,6181_1,115,11.5,24,24,12,60,14,1,,,1254,Closed,420,9.21,108.51,420,YES,10,0,0,0,1.7,0,YES,120462,BIT (Bituminous Coal),1.04,-105.54,195.72,YES,420,Piecewise Linear
120464,ADKINS 7 3,1,6181_2,115,11.5,24,24,12,60,14,0.1667,,,1254,Closed,420,9.21,201.97,420,YES,10,0,0,0,1.7,0,YES,120462,BIT (Bituminous Coal),1.04,-110.87,195.72,YES,420,Piecewise Linear
120467,CHRISTINE 4 2,1,6183_1,115,11.5,24,24,12,60,14,1,,,1255,Closed,391,-62.44,136.06,391,YES,10,0,0,0,1.6,0,YES,120466,BIT (Bituminous Coal),1.042,-111.75,182.21,YES,391,Piecewise Linear
120469,ADKINS 8 2,1,7097_2,115,11.5,24,24,12,60,14,12,3.5,1.5,1256,Closed,692.18,-5.8,205.15,785,YES,10,0,0,0,1.7,0,YES,120468,BIT (Bituminous Coal),1.04,-198.8,365.81,YES,785,Piecewise Linear
120470,ADKINS 8 3,1,7097_1,115,11.5,24,24,12,60,14,0.1667,,,1256,Closed,375,-5.8,237.11,560,YES,10,0,0,0,1.7,0,YES,120468,BIT (Bituminous Coal),1.04,-179.17,260.96,YES,560,Piecewise Linear
120472,ELMENDORF 12 2,1,7512_3,85,8.5,6,6,4,840,0,12,3.5,2,1257,Closed,83.8,-2.63,83.8,190,YES,8,0,0,0,3.142,0,YES,120472,NG (Natural Gas),1.04,-57.49,96.71,YES,190,Piecewise Linear
120473,ELMENDORF 12 3,1,7512_1,85,8.5,6,6,4,840,0,>12,3,1.5,1257,Closed,30.66,-23.31,30.66,164,YES,5,0,0,0,3.326,0,YES,120471,NG (Natural Gas),1.04,-51.26,83.48,YES,164,Piecewise Linear
120474,ELMENDORF 12 4,1,7512_2,85,8.5,6,6,4,840,0,>12,3,1.5,1257,Closed,75.59,-2.35,75.59,164,YES,5,0,0,0,2.886,0,YES,120474,NG (Natural Gas),1.04,-46.84,83.48,YES,164,Piecewise Linear
120490,ELMENDORF 13 2,1,57197_1,0,0,0,0,0,6000,0,0.1667,,,1260,Open,0,0,0,0,YES,5,0,0,0,1,0,YES,120490,SUN (Solar),1.04,-4.6,6.24,YES,13.5,Piecewise Linear
120493,BRACKETTVILLE 4 2,1,58000_ANA,0,0,0,0,0,6000,0,0.1667,,,1261,Closed,89.82,-34.84,0,89.82,YES,10,0,0,0,1,0,YES,120493,WND (Wind),1.04,-34.84,46.15,YES,99.8,Piecewise Linear
120498,ELMENDORF 14 2,1,58027_1,0,0,0,0,0,6000,0,0.1667,,,1263,Open,0,0,0,0,YES,5,0,0,0,1,0,YES,120498,SUN (Solar),1.04,-2.48,3.33,YES,9.9,Piecewise Linear
120500,ELMENDORF 15 2,1,58068_1,0,0,0,0,0,6000,0,0.1667,,,1264,Open,0,0,0,0,YES,5,0,0,0,1,0,YES,120500,SUN (Solar),1.04,-3.24,3.5,YES,9.9,Piecewise Linear
120503,ELMENDORF 16 3,2,58537_1,0,0,0,0,0,6000,0,0.1667,,,1265,Open,0,0,0,0,YES,10,0,0,0,1,0,YES,120503,SUN (Solar),1.04,-10.34,17.1,YES,40.7,Piecewise Linear
